D,E,n,mean_persistence,sd_persistence,mean_task,mean_hazard,se,ci95_low,ci95_high
0,0,200,0.06576593383633396,0.0016049180497293275,0.6855652522926812,0.6371476331236202,0.00011348484362122961,0.06554350354283635,0.06598836412983157
0,1,200,0.1359973783330512,0.008099006723340636,0.6550797313713234,0.5892497879768591,0.0005726862574949605,0.13487491326836107,0.13711984339774133
1,0,200,0.1569302935643939,0.001639179516376001,0.6449156281370761,0.5749735397890834,0.00011590749516115557,0.15670311487387803,0.15715747225490975
1,1,200,0.1928936481693033,0.00422849277676617,0.6289643556679102,0.5504465319485352,0.0002989995916649693,0.19230760896963994,0.19347968736896665
