term,coef,robust_se,p_value,ci_low,ci_high
Intercept,0.06576593383633436,0.00011376962410317489,0.0,0.06554294947055748,0.06598891820211124
C(D)[T.1],0.09116435972806004,0.0001626209860126511,0.0,0.09084562845234485,0.09148309100377523
C(E)[T.1],0.07023144449671714,0.0005852872500582277,0.0,0.06908430256599253,0.07137858642744176
C(D)[T.1]:C(E)[T.1],-0.034268089891807754,0.0006677673461984465,0.0,-0.0355768898404086,-0.03295928994320691
